# Date: 20210520
# Operator: DCC
# Notes: post test 
# Tap_cm: 1.0
# Sample: SOX_1_4
# Fit of Tap:
#	Ic = 36 +/- 0.035 A
#	n = 46 +/- 1 
#	Vc = 1.5 uV
#	Vfloor = 2.55 +/- 0.034 uV
#	R = 0.00306 +/- 0.0017 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
2.500000,0.250000,0.000000,-11.200000,0.072151,8.770000,-4.171123
2.500000,0.290000,0.083333,-11.600000,0.093367,8.410000,-4.064171
2.600000,0.270000,0.166667,-11.200000,0.101150,9.250000,-4.556150
2.400000,0.410000,0.250000,-11.000000,0.111480,8.590000,-4.183601
2.500000,0.430000,0.333333,-11.200000,0.127767,8.490000,-4.146168
2.600000,0.570000,0.416667,-11.400000,0.144795,8.370000,-4.147950
2.600000,0.670000,0.500000,-9.000000,0.162149,8.530000,-4.208556
2.400000,0.710000,0.583333,-9.000000,0.177524,8.410000,-4.101604
2.800000,0.810000,0.666667,-9.200000,0.194451,8.410000,-4.122995
2.500000,0.770000,0.750000,-9.000000,0.210278,8.390000,-4.062389
2.500000,1.050000,0.833333,-9.200000,0.232918,9.150000,-4.561497
2.500000,1.010000,0.916667,-8.800000,0.242589,8.470000,-4.014260
2.700000,1.170000,1.000000,-8.800000,0.262291,8.610000,-4.228164
2.500000,1.190000,1.083333,-9.000000,0.277043,8.410000,-4.074866
2.500000,1.330000,1.166667,-9.200000,0.300788,9.290000,-4.582888
2.700000,1.370000,1.250000,-9.200000,0.316014,9.130000,-4.561497
2.500000,1.410000,1.333333,-8.600000,0.331953,9.030000,-4.527629
2.600000,1.510000,1.416667,-8.600000,0.347220,8.870000,-4.402852
2.500000,1.570000,1.500000,-9.000000,0.362377,8.550000,-4.251337
2.500000,1.690000,1.583333,-8.800000,0.377700,8.410000,-4.121212
2.400000,1.890000,1.666667,-9.200000,0.392861,8.430000,-4.026738
2.700000,1.830000,1.750000,-9.600000,0.408107,8.470000,-4.007130
2.600000,2.010000,1.833333,-8.800000,0.423136,8.610000,-4.085561
2.700000,2.130000,1.916667,-9.000000,0.441093,8.490000,-4.023173
2.700000,2.130000,2.000000,-8.800000,0.462947,8.630000,-4.329768
2.400000,2.290000,2.083333,-8.800000,0.478727,8.550000,-4.244207
2.500000,2.350000,2.166667,-8.800000,0.493750,8.390000,-4.106952
2.400000,2.350000,2.250000,-8.800000,0.503153,9.190000,-4.443850
2.600000,2.450000,2.333333,-9.200000,0.513625,8.830000,-4.413547
2.600000,2.590000,2.416667,-8.800000,0.530031,8.750000,-4.374332
2.600000,2.690000,2.500000,-9.000000,0.545501,8.570000,-4.237077
2.500000,2.730000,2.583333,-9.000000,0.561891,8.530000,-4.217469
2.700000,2.870000,2.666667,-10.000000,0.591410,8.410000,-4.026738
2.600000,2.910000,2.750000,-8.600000,0.601757,9.270000,-4.520499
2.400000,2.970000,2.833333,-8.800000,0.611150,8.370000,-4.158645
2.800000,3.130000,2.916667,-8.800000,0.625581,8.390000,-4.019608
2.600000,3.210000,3.000000,-8.600000,0.650886,9.310000,-4.579323
2.800000,3.270000,3.083333,-9.200000,0.660309,8.330000,-4.092692
2.600000,3.330000,3.166667,-9.000000,0.673782,8.590000,-4.044563
2.300000,3.430000,3.250000,-8.800000,0.690166,8.610000,-4.048128
2.700000,3.490000,3.333333,-8.800000,0.705563,8.890000,-4.146168
2.500000,3.690000,3.416667,-8.600000,0.721964,8.910000,-4.172906
2.500000,3.690000,3.500000,-8.800000,0.737636,9.070000,-4.274510
2.500000,3.830000,3.583333,-8.800000,0.754111,9.070000,-4.274510
2.600000,3.870000,3.666667,-9.000000,0.769593,9.210000,-4.408200
2.600000,3.950000,3.750000,-8.800000,0.786010,9.190000,-4.429590
2.500000,4.030000,3.833333,-9.000000,0.801445,9.290000,-4.516934
2.500000,4.230000,3.916667,-8.800000,0.817907,9.310000,-4.531194
2.700000,4.230000,4.000000,-8.800000,0.834297,9.310000,-4.545455
2.200000,4.370000,4.083333,-8.800000,0.849754,9.190000,-4.572193
2.700000,4.410000,4.166667,-8.800000,0.869017,9.230000,-4.452763
2.600000,4.530000,4.250000,-8.800000,0.893274,8.350000,-4.055258
2.600000,4.550000,4.333333,-9.000000,0.903357,9.130000,-4.347594
2.700000,4.670000,4.416667,-8.800000,0.913901,8.850000,-4.433155
2.600000,4.750000,4.500000,-8.800000,0.930298,8.810000,-4.413547
2.400000,4.810000,4.583333,-9.000000,0.945662,8.590000,-4.276292
2.500000,4.910000,4.666667,-8.800000,0.962041,8.550000,-4.245989
2.600000,5.030000,4.750000,-9.600000,0.977731,8.370000,-4.130125
2.600000,5.110000,4.833333,-9.200000,0.994356,8.410000,-4.144385
2.500000,5.150000,4.916667,-9.200000,1.009864,8.390000,-4.060606
2.400000,5.270000,5.000000,-8.800000,1.026281,8.390000,-4.048128
2.600000,5.270000,5.083333,-9.000000,1.041807,8.410000,-3.994652
2.600000,5.450000,5.166667,-8.600000,1.058181,8.470000,-3.983957
2.500000,5.590000,5.250000,-8.800000,1.077506,8.430000,-4.128342
2.600000,5.650000,5.333333,-8.600000,1.089968,8.590000,-4.039216
2.600000,5.690000,5.416667,-8.800000,1.105357,8.790000,-4.135472
2.700000,5.790000,5.500000,-9.000000,1.121778,8.830000,-4.155080
2.400000,5.850000,5.583333,-8.800000,1.138157,8.930000,-4.183601
2.400000,5.990000,5.666667,-9.600000,1.153843,9.110000,-4.303030
2.700000,6.050000,5.750000,-8.600000,1.170066,9.170000,-4.360071
2.400000,6.190000,5.833333,-8.800000,1.196737,8.790000,-4.397504
2.500000,6.210000,5.916667,-8.800000,1.207454,8.550000,-4.010695
2.700000,6.290000,6.000000,-8.800000,1.218499,9.310000,-4.481283
